place,title,time,pay,date
경기 수원시,수원호매실점 주말 주방보조 알바구함,15:00~21:00,"시급9,200",14분전
전남 여수시,청년다방 평일 오전 홀 알바 구해요,10:30~14:30,"시급9,160",15분전
전북 군산시,"청년다방 미장점 홀 알바 모집합니다.(주말,주휴수당지급)",12:30~21:30,"시급9,160",26분전
전북 군산시,청년다방 군산미장점 주방알바 모집합니다(주휴수당지급),10:00~22:00,"시급9,160",1시간전
부산 해운대,[급구]분식 주방경력자(11시~7시)주5일/요일 시간협의가능,11:00~19:00,"시급9,500",4시간전
부산 해운대,[청년다방]홀써빙 평일(18시~24시)/주말마감알바(시간협의)배민가능자,18:00~24:00,"시급9,160",4시간전
전북 군산시,청년다방 군산미장점 주방직원 모집합니다,11:00~22:00,"월급2,600,000",4시간전
부산 해운대,[청년다방] 분식주방경력자(7시~새벽1시)시간협의가능/주부환영,19:00~01:00,"시급9,500",4시간전
부산 해운대,[청년다방] 주말홀마감 구함(토:7시~새벽1시/일:7시~11시)시간협의가능,시간협의,"시급9,160",4시간전
부산 해운대,[급구]주말주방보조(5시~11시)/주부환영,17:00~23:00,"시급9,160",4시간전
부산 해운대,[분식] 주방경력직원(11시~5시/ 5시~11시)시간협의,17:00~23:00,"시급9,160",4시간전
충남 아산시,은화수식당 아산점 주말 오후홀서빙 17:00~21:00,17:00~21:00,"시급9,160",5시간전
경기 화성시,청년다방 화성남양점 아르바이트 모집합니다,11:00~20:30,"시급9,160",5시간전
충남 천안시,홀서빙 주말  오후 파트타임,17:00~21:30,"시급9,160",6시간전
경기 용인시,청년다방 보정카페거리점(용인보정점),시간협의,"시급9,160",6시간전
경기 안산시,"청년다방 홀서빙 (금,토,일오후5:30~9시) 문자지원",17:30~21:00,"시급9,160",6시간전
충남 천안시,은화수식당 천안신불당점 주6일 16시30분-21시30분 주방보조 채용,16:30~21:30,"월급1,430,000",7시간전
충남 아산시,은화수식당 아산점 주말 오후홀서빙 17:00~21:00,17:00~21:00,"시급9,160",8시간전
광주 광산구,청년다방 호남대점에서 평일 오전 주방 알바 구합니다.,10:00~14:30,"시급9,160",18시간전
충남 천안시,은화수식당 천안신불당점 주6일 16시30분-21시30분 주방보조 채용,16:30~21:30,"월급1,430,000",01/16
충남 천안시,"청년다방 성성점 평일오전1명, 직원1명(주5일/월화or수목 휴무) 모집합니다",15:00~24:00,"월급2,015,200",01/16
충북 청주시,청년다방지웰시티점.평일 오후파트타이머 모집,10:30~16:30,"시급10,000",01/15
충남 천안시,은화수식당 천안신불당점 주6일 16시30분-21시30분 주방보조 채용,16:30~21:30,"월급1,430,000",01/14
경기 시흥시,시흥 능곡역점 청년다방 홀 주방 주말 같이 하실 친구분구합니다,17:30~21:30,"시급9,160",01/13
부산 해운대,[홀써빙] 주말오후(근무희망시간협의)커피 또는 배민경력자,시간협의,"시급9,200",01/12
충북 청주시,청년다방지웰시티점.평일 오후파트타이머 모집,10:30~16:30,"시급10,000",01/11
서울 서대문,"주방 알바 구해요.오후 시간,요일 조절가능",17:30~22:30,"시급9,500",01/11
경기 시흥시,시흥 능곡역점 청년다방 홀 주방 주말 같이 하실 친구분구합니다,17:30~21:30,"시급9,160",01/11
충북 청주시,청년다방지웰시티점.평일 오후파트타이머 모집,10:30~16:30,"시급10,000",01/08
충남 천안시,청년다방 성성점 직원2명 모집합니다(주5일/주42시간/매니저급 지원가능),15:00~24:00,"월급2,000,000",01/04
충남 논산시,청년다방오거리점,17:30~22:00,"시급9,160",01/02
충남 천안시,은화수식당쌍용점 평일 홀서빙 직원 모집합니다,10:00~21:00,"월급2,200,000",01/01
